icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a11bc8,UAL2397,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-91.7223,41.5123,11887.2,False,262.72,82.23,-0.33,,12534.9,2034,False,0
a8af9d,QXE2023,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-122.6545,42.7204,10972.8,False,222.01,357.08,0.33,,11292.84,3321,False,0
0c202c,CMP807,Panama,2026-09-07 06:58:17,2026-09-07 06:58:18,-77.6038,37.7135,9753.6,False,235.65,211.16,0.0,,10149.84,4422,False,0
a6b0c5,DAL27,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-107.1219,42.6358,10972.8,False,248.84,314.16,0.33,,11536.68,2576,False,0
0d0fc1,VOI188,Mexico,2026-09-07 06:58:17,2026-09-07 06:58:17,-113.1309,31.0941,10355.58,False,245.44,298.82,0.0,,11041.38,,False,0
aafc36,DAL395,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-117.0921,42.8849,10058.4,False,267.76,99.73,0.0,,10302.24,,False,0
a66239,JBU2490,United States,2026-09-07 06:58:12,2026-09-07 06:58:17,-74.1864,40.6879,,True,0.0,317.81,,,,,False,0
a29266,N265JP,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-122.8627,41.8978,3291.84,False,92.84,175.87,0.0,,3383.28,6622,False,0
4caa41,EIN9MY,Ireland,2026-09-07 06:58:18,2026-09-07 06:58:18,-87.7179,49.0474,10668.0,False,244.17,46.45,0.0,,11094.72,,False,0
a7f804,SKW5592,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-118.8502,33.917,3695.7,False,156.42,271.13,11.38,,3878.58,1052,False,0
c00714,H125V,Canada,2026-09-07 06:58:17,2026-09-07 06:58:17,-79.7368,43.5853,457.2,False,38.73,329.69,0.65,,495.3,4374,False,0
a79531,N588SA,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-122.417,44.8282,5128.26,False,116.83,178.23,-0.65,,5234.94,,False,0
