icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a12756,UAL1508,United States,2026-09-07 07:02:34,2026-09-07 07:02:36,-122.3737,37.6145,,True,5.14,28.12,,,,,False,0
a12798,UAL436,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-116.1913,38.5735,10058.4,False,261.76,86.73,-0.33,,10507.98,3201,False,0
a09188,AAL1487,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-117.9095,45.2197,10972.8,False,228.72,303.9,0.0,,11140.44,,False,0
a2ddfa,N284MR,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-96.8756,43.5381,1973.58,False,88.0,263.62,6.5,,2057.4,,False,0
a3411f,DAL2068,United States,2026-09-07 07:02:23,2026-09-07 07:02:23,-73.86,40.7698,,True,0.0,278.44,,,,2060,False,0
a53dac,FFT4156,United States,2026-09-07 07:02:18,2026-09-07 07:02:21,-122.3845,37.6106,,True,0.0,42.19,,,,,False,0
c03493,TSC427,Canada,2026-09-07 07:02:35,2026-09-07 07:02:35,-79.3931,43.8031,975.36,False,108.35,300.22,-1.95,,1028.7,6160,False,0
a04f40,N119SP,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-93.228,44.9845,647.7,False,10.4,171.47,0.0,,693.42,,False,0
a61797,ASA336,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-98.3349,44.9776,10058.4,False,257.17,101.42,0.0,,10622.28,,False,0
a39c62,UAL698,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-95.1017,39.9876,11277.6,False,247.23,85.35,0.33,,11910.06,6004,False,0
a353c8,AAL1802,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-109.1327,32.5296,10058.4,False,241.0,102.7,0.0,,10736.58,6472,False,0
